<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MOEX.VKCO:TQBR,D,20210104,000000,1990.0000000,1999.0000000,1980.0000000,1984.8000000,392692
MOEX.VKCO:TQBR,D,20210105,000000,1989.0000000,2057.6000000,1979.0000000,2041.8000000,745005
MOEX.VKCO:TQBR,D,20210106,000000,2039.8000000,2077.0000000,1998.2000000,2005.6000000,825941
MOEX.VKCO:TQBR,D,20210108,000000,2013.0000000,2037.2000000,2005.0000000,2016.0000000,600224
MOEX.VKCO:TQBR,D,20210111,000000,2016.0000000,2073.0000000,2006.2000000,2059.0000000,775688
MOEX.VKCO:TQBR,D,20210112,000000,2063.8000000,2086.6000000,2015.8000000,2044.8000000,554443
MOEX.VKCO:TQBR,D,20210113,000000,2033.6000000,2049.0000000,2000.2000000,2017.4000000,448602
MOEX.VKCO:TQBR,D,20210114,000000,2012.2000000,2029.0000000,1940.4000000,1987.8000000,1144165
MOEX.VKCO:TQBR,D,20210115,000000,1979.2000000,1996.6000000,1950.2000000,1967.0000000,498506
MOEX.VKCO:TQBR,D,20210118,000000,1964.8000000,1988.0000000,1945.4000000,1958.6000000,485328
MOEX.VKCO:TQBR,D,20210119,000000,1965.4000000,1969.8000000,1924.0000000,1935.4000000,913306
MOEX.VKCO:TQBR,D,20210120,000000,1932.6000000,1968.2000000,1925.4000000,1966.2000000,400037
MOEX.VKCO:TQBR,D,20210121,000000,1962.0000000,1988.0000000,1934.2000000,1950.8000000,887546
MOEX.VKCO:TQBR,D,20210122,000000,1950.0000000,1963.0000000,1939.0000000,1951.0000000,380923
MOEX.VKCO:TQBR,D,20210125,000000,1952.0000000,1967.0000000,1943.2000000,1959.8000000,414373
MOEX.VKCO:TQBR,D,20210126,000000,1959.2000000,1984.0000000,1950.0000000,1979.4000000,491488
MOEX.VKCO:TQBR,D,20210127,000000,1985.4000000,2010.4000000,1961.2000000,1990.0000000,736262
MOEX.VKCO:TQBR,D,20210128,000000,1990.0000000,2003.8000000,1965.6000000,1979.2000000,560934
MOEX.VKCO:TQBR,D,20210129,000000,1974.8000000,1992.8000000,1920.2000000,1962.0000000,587278
MOEX.VKCO:TQBR,D,20210201,000000,1962.0000000,1987.0000000,1936.0000000,1977.0000000,543961
MOEX.VKCO:TQBR,D,20210202,000000,1976.0000000,2017.0000000,1971.4000000,1990.4000000,518247
MOEX.VKCO:TQBR,D,20210203,000000,1998.6000000,2025.0000000,1978.4000000,2014.8000000,448008
MOEX.VKCO:TQBR,D,20210204,000000,2018.0000000,2041.8000000,2012.2000000,2037.6000000,384430
MOEX.VKCO:TQBR,D,20210205,000000,2035.2000000,2052.0000000,2023.0000000,2042.0000000,389525
